string2 0,string 1
"10011","Attack"
"10012","Guard"
"10013","Escape"
"11011","Pursuit"
"11012","Pursuit"
"11013","Damaged by skill recoil!"
"11014","{d0} has forgotten itself!"
"11015","{d0} has forgotten itself!"
"11016","Cross Arts"
"11017","Cross Art - Burst"
"11018","Cross Art - Reversed"
"11019","Cross Art - Strike"
"11020","Cross Art - Aura"
"11021","Cross Art - Heal"
"11022","Cross Art - Revive"
"11023","Cross Art - Field"
"11024","Cross Art - Break"
"11025","Attack Rush"
"11027","Extra Strikes"
"11028","Wind of Regeneration"
"11029","Energy Charge"
"11030","Regeneration Charge"
"11031","Wind of Energy"
"11032","Cheer of Regeneration"
"11033","Cheer of Energy"
"11034","Wind of Healing"
"11035","Boost Link"
"11036","Boost Charge"
"11037","Reduce Bind"
"11038","Boost Cheer"
"11039","Reduce Break"
"11040","Elemental Ripper"
"11041","Elemental Curtain"
"11042","Blight Break"
"11043","Venom Bind"
"11044","Panic Bind"
"11045","Paralysis Bind"
"11046","Sleep Bind"
"11047","Extra Brave"
"12003","{d0} has been damaged by poison!"
"12006","{d0} is paralyzed and can't move!"
"12007","{d0} has fallen asleep!"
"12023","{d0} recovered HP!"
"12024","{d0} recovered SP!"
"12085","Counter"
"12087","Reflect Physical"
"12088","Reflect Magic"
"12091","{d0} stood firm!"
"12105","{d0} can't move due to recoil!"
"12106","{d0} is downed from the impact!"
"12126","{d0} is losing motivation!"
"12301","{d0} recovered HP!"
"12302","{d0} recovered SP!"
"13008",""
"20011","Pretty Attack"
"20021","Tearing Shot"
"20031","Moon Night Bomb"
"20041","Lunatic Dance"
"20051","Crimson Curse"
"20061","Nail Bone"
"20091","Cog Crusher"
"20101","Burning Fist"
"20111","Spinning Needle"
"20121","Fox Fire"
"20131","Death Charm"
"20141","Meteor Shower"
"20151","Glide Horn"
"20161","Fang Strike"
"20171","Darkside Quake"
"20191","Brave Metal"
"20192","DORU-Din"
"20201","Cheese Bomb"
"20211","Tidal Wave"
"20221","Infinity Dream"
"20222","Flying Kick"
"20231","Hell Masquerade"
"20241","Ocean Love"
"20242","Funny Smile"
"20251","Ambush Crunch"
"20261","Cross Blade"
"20271","Terra Force"
"20272","Great Tornado"
"20281","Big Smiley Bomber"
"20301","Sticker Blade"
"20311","Earth-Shattering Stomp"
"20321","Crystal Revolution"
"20322","Eye of the Gorgon"
"20331","Tri-Horn Attack"
"20341","Phantom Pain"
"20351","Double Impact"
"20352","Darkness Claw"
"20361","Pandemonium Lost"
"20362","Death Lure"
"20371","Biting Crush"
"20372","Tail Strike"
"20381","Flame Inferno"
"20382","Chaos Flare"
"20391","Dead or Alive"
"20392","Paradise Lost"
"20401","Gift of Darkness"
"20402","Lampranthus"
"20403","Lampranthus"
"20411","Animal Nail"
"20421","Gear Stinger"
"20431","Lightning Paw"
"20441","Miracle Bomb activated!"
"20442","Try Again"
"20443","Magic Arm"
"20451","Holy Flare"
"20452","Chronos Crop"
"20461","Holy Flare"
"20462","Chrono Devolution"
"20471","Megiddo Flame"
"20472","Hell Howling"
"20481","God Flame"
"20491","Flashy Boss Punch"
"20492","Lion Slash"
"20501","Pepper Breath"
"20511","DJ Shooter"
"20521","Pointer Arrow"
"20531","Blinding Ray"
"20541","Mega Burst"
"20551","Double Backhand"
"20561","Seed Blast"
"20571","Thorn Whip"
"20572","Forbidden Temptation"
"20581","Sunshine Beam"
"20591","Big Bang Voice"
"20601","Volcanic Driver"
"20602","Diamond Fist"
"20611","Hearts Attack"
"20621","Data Drain"
"20631","Soul Absorption"
"20641","Prison Fist"
"20651","Dot Matrix"
"20661","Dot Matrix"
"20662","Exile Spear"
"20671","God Matrix"
"20672","Dystopia Lances"
"20681","Spiral Blow"
"20691","Platinum Excrement"
"20692","Platinum Burp"
"20701","Poop Toss"
"20711","Trident Revolver"
"20721","Fist of the Beast King"
"20731","Lila Shower"
"20741","Winning Knuckle"
"20751","Vortex Penetration"
"20752","Wave of Depth"
"20761","Kouyoujou: Hydro Descent"
"20771","Rolling Tackle"
"20781","Exhaust Flame"
"20791","Superstar Uppercut"
"20801","Thousand Fists"
"20802","Spiritual Enchantment"
"20811","Summon"
"20821","Heat Wave"
"20831","Supersonic Voice"
"20841","Wind Cutter Sword"
"20851","Night Raid"
"20861","Bifrost"
"20862","Odin's Breath"
"20871","Heaven's Knuckle"
"20881","Transcendent Sword"
"20882","Supreme Cannon"
"20901","Rock Breaker"
"20911","Spiking Strike"
